vague_phrases,scores
Flash cookies are different from browser cookies and cookie management tools provided by your browser may not remove Flash cookies .,2.0
You can find information on popular browsers and how to adjust your cookie preferences in the help and support section of your browser .,1.6
"If you turn off cookies , there may be some features of our site that will not be available to you and some Web pages may not display properly .",3.0
In certain countries you may also adjust your HP.com and associated cookie preferences by using a preference manager tool in this Statement which is available from the site you are visiting .,2.2
"Most browsers automatically accept cookies by default , but you can usually refuse cookies or selectively accept cookies by adjusting the preferences in your browser .",2.2
Most web browsers offer you the ability to inform websites and ad networks that you do not want your online activities tracked through a Do Not Track feature .,1.6
"From time to time , HP will use Flash local shared objects ( LSOs ) to store Flash content information and preferences .",2.0
"Such a transaction may involve the disclosure of personal information to prospective or actual purchasers , or the receipt of it from sellers .",3.0
"Circumstances may arise where , whether for strategic or other business reasons , HP decides to sell , buy , merge or otherwise reorganize businesses in some countries .",3.5
"If you do not want HP to collect information about the links that you click , you can :",2.0
Access to many HP subscriptions is available at the Subscriber 's Choice web page .,2.0
The information HP collects from its public or commercial sources may be used along with the information HP collects when you visit HP 's sites .,2.6
personalize some HP websites,2.0
"Please be aware that when you opt out of receiving certain subscription communications , it may affect the services you have chosen to receive from HP where accepting the communications is a condition of receiving the services .",2.4
"After you request such communications , you may opt out of receiving them by using one of the following methods :",2.0
"This may include new product or services information , special offers , or invitations to participate in market research or compliance reviews .",2.0
"HP general communications provide information about products , services , and/or support .",1.0
"Depending on the context , web beacons may also refer to content on a third-party server , and may be used by service providers to deliver relevant advertising to you .",1.8
"Some HP.com and third-party web pages , applications , and HTML-formatted email use Web beacons alone or in conjunction with cookies to compile information about your website usage and your interaction with email , as well as to measure performance on hp.com , applications , and websites powered by another company on HP 's behalf .",2.2
"If you choose to receive marketing emails or newsletters from HP as specified in Your choices and selecting your privacy preferences , HP may automatically collect personal information about you .",2.75
"For more information about this , please refer to the information provided by your email software or service provider .",1.5
"However , doing this may not always disable a web beacon or other automatic data collection tools in the email message due to specific email software capabilities .",2.0
You may be able to disable web beacons in email messages by not downloading images contained in the message you receive ( this feature varies depending on the email software used on your personal computer ) .,2.0
"For example , through web beacons and personalized URLs embedded in these emails or newsletters , HP can track whether you 've opened those messages and whether you 've clicked on links contained within those messages .",1.25
"Web beacons can recognize certain types of information on your computer such as cookies , the time and date of a page viewed , and a description of the page where the web beacon is placed .",1.6
"in some cases , your business contact data may be provided to HP by a designated entity within your business or enterprise ( such as a member of your IT department )",3.0
The types of personal information you provide to us may include :,3.0
"HP sites or services may provide links to third-party applications , products , services , or websites for your convenience and information .",2.8
"HP does not control those third party sites or their privacy practices , which may differ from HP 's practices .",2.6
"For example , HP may use your information to",2.6
HP ads on third party websites,1.4
"This Privacy Statement applies to all HP-owned websites , domains , services , applications , and products , and those of our wholly owned subsidiaries ( `` HP sites or services '' ) , except that a privacy policy or statement specific to a particular HP program , product , or service may supersede or supplement this Privacy Statement .",2.2
"For example , HP may compare the geographic information acquired from commercial sources with the IP address collected by Automatic Data Collection Tools to derive your general geographic area .",2.2
"Where necessary , HP may also use information provided by you or your employer , together with information from publicly available and other online and offline sources , to conduct due diligence checks on business contacts as part of HP 's anti-corruption program .",3.0
The personal data you choose to provide to or that is collected by these third parties is not covered by the HP Privacy Statement .,2.4
Cookies are typically classified as either session cookies or persistent cookies .,2.0
You will often be able to use HP Passport to indicate whether you want to receive general communications from HP .,1.6
It is HP 's practice to seek appropriate protection for information in these types of transactions .,2.25
You can subscribe to receive certain product- and service-specific information and also choose to receive HP general communications .,1.75
"You can make or change your choices about receiving either subscription or general communications at the data collection point or by using other methods , which are listed in the following sections .",1.8
"Subscription communications include email newsletters , software updates , etc . that may be expressly requested by you or which you consented to receive .",2.4
HP may transfer your personal information to other HP-owned business entities in the US and Worldwide .,3.0
"If you choose to provide personal information to the other companies , that personal information will be handled according to the privacy policy of those companies , which may differ from HP 's policies and practices .",3.2
"Except as described in this Statement , HP will not share the personal information you provide to HP with non-HP third parties without your permission , unless to : ( i ) respond to duly authorized information requests of police and governmental authorities ; ( ii ) comply with any law , regulation , subpoena , or court order ; ( iii ) investigate and help prevent security threats , fraud or other malicious activity ; ( iv ) enforce/protect the rights and properties of HP or its subsidiaries ; or ( v ) protect the rights or personal safety of HP , our employees , and third parties on or using HP property when allowed and in line with the requirements of applicable law .",2.4
Some of these services and communications offer you the option to share personal information with both HP and the other companies participating in these initiatives .,3.8
"As part of these initiatives , certain HP services and marketing communications may be delivered at the same time as those from other companies .",2.6
"For example , you may receive marketing communications from HP and other companies or have the opportunity to register online for software products from multiple companies .",2.8
reconfigure the Internet keyboard keys on certain PC models to launch a destination URL of your choice by using the instructions provided with your PC,1.4
"Emails from HP , Internet keyboard keys preconfigured by HP , and promotional icons preinstalled on your PC desktop often use links designed to lead you to a relevant area on the Web , after redirection through HP 's servers .",2.2
"The redirection system allows HP to change the destination URL of these links , if necessary , and to determine the effectiveness of our marketing initiatives .",2.0
"In emails , such web links may also allow HP to determine whether you have clicked a link in an email , and this information about the interaction may be connected to your personal identity .",3.2
"This Privacy Statement informs you of our privacy practices and of the choices you can make about the way information about you , including from your online activity is collected and how that information is used by HP .",1.0
"They may also collect information about your Internet Protocol ( IP ) address , unique device identifier , clickstream behavior ( i.e. , the pages you view , the links you click , and other actions you take in connection with HP websites or powered by websites ) and product information .",3.0
HP may also use some of these Automatic Data Collection Tools in connection with certain emails and communications sent from HP and therefore may collect information using these tools when you open the email or click on a link contained in the email .,3.4
"If you apply for instant credit , we may ask you to provide additional personal information such as salary , government issued identification number , banking/financial account information , and other information to authenticate you and verify credit worthiness .",3.4
This information will be used by our financial services providers in determining whether to extend you credit and how much to extend .,1.2
"If you post , comment , indicate interest or complaint , or share personal information , including photographs , to any public forum on an HP site , social network , blog , or other such forum , please be aware that any information you submit can be read , viewed , collected , or used by other users of these forums , and could be used to contact you , send you unsolicited messages , or for purposes that neither you nor HP have control over .",2.2
"In addition to the information you provide , HP may also collect information during your visit to an HP website , web-based application , or a website powered by another company on behalf of HP , through our Automatic Data Collection Tools , which include Web beacons , cookies , and embedded Web links .",2.6
"These tools collect certain traffic information that your browser sends to a website , such as your browser type and language , access times , and the address of the website from which you arrived .",2.0
"If we make significant changes to our Statement that materially alter our privacy practices , we may also notify you by other means , such as sending an email or posting a notice on our corporate website and/or social media pages prior to the changes taking effect .",3.4
"By accessing this Site , certain information about the User , such as Internet protocol ( IP ) addresses , navigation through the Site , the software used and the time spent , along with other similar information , will be stored on United Nations and web analytics servers .",3.0
"If the User provides unique identifying information , such as name , address and other information on forms stored on this Site , such information will be used only for statistical purposes and will not be published for general access .",2.4
"Information collected may be used , among other things , to deliver advertising targeted to your interests and to better understand the usage and visits to the Site and the other websites tracked by these third parties .",3.8
"This Privacy Statement does not cover the collection methods or use of the information collected by Third-Party Ad-Servers , and Groupon is not responsible for Cookies or clear gifs in third party ads .",1.6
"Vendors means , collectively , third parties that perform business operations on behalf of Groupon , such as transaction processing , billing , mailing , communications services ( e-mail , direct mail , etc . ) , marketing , data processing and analytics , servicing , collections , or ad management .",1.4
Third-Party Ad-Servers means Vendors and other third parties that provide the technology to place ads on websites and track ad performance .,1.8
"Other websites that may be accessible through links from the Site may have their own privacy statements and personal information collection , use , and disclosure practices .",2.6
Our Business Partners may also have their own privacy statements .,1.8
"If you have questions about the security and privacy settings of your mobile device , please refer to instructions from your mobile service provider or the manufacturer of your device to learn how to adjust your settings .",2.0
"Device Data may be collected when your device interacts with the Site and Groupon , even if you are not logged into the Site using your device .",2.2
"We use persistent cookies for a number of purposes , such as retrieving certain information you have previously provided ( for example , your user id if you asked to be remembered ) , and storing your preferences ( for example , the cities for which you want to be shown Groupon vouchers ) .",2.0
"To create such adequate protection and allow our Affiliates , Vendors and Business Partners to overcome the restriction on international data transfers established by the Directive and the FADP , we adhere to the Safe Harbor Privacy Principles published by US Department of Commerce ( Safe Harbor Principles ) with respect to personal data about individuals in the EEA/CH that our subsidiaries and Business Partners in the EEA/CH send to us , ( EEA/CH Data ) .",1.8
The United States may not have the same level of data protection as your jurisdiction .,1.75
with any Groupon Affiliate who may only use the Personal Information for the purposes described in this Privacy Statement ;,2.8
We ( or our Vendors on our behalf ) may share your Personal Information as required or permitted by law :,2.8
"Personal Information means information about you that specifically identifies you or , when combined with other information we have , can be used to identify you .",1.8
Non-Identifying Information may be derived from Personal Information .,2.2
"Online Communities means , collectively , our social networking pages or accounts , forums , bulletin boards , discussion groups , chat rooms or other methods of communication that may be offered on or linked through the Site .",2.4
"Financial Information : information collected from you as needed to process payments for Groupon vouchers or other products or services that you buy , or as provided by you to administer your participation in optional services and programs , such as your payment card number , expiration date , and card verification number .",2.0
You can reach us via postal mail at the following address :,1.0
"Pursuant to Section 1798.83 of the California Civil Code , residents of California can obtain certain information about the types of personal information that companies with whom they have an established business relationship have shared with third parties for direct marketing purposes during the proceeding calendar year .",3.0
"If you reside in Canada , you may have the right to be provided with access to Personal Information that we have collected about you and written information about our policies and practices with respect to the transfer of your personal information to Vendors outside Canada .",2.25
"In particular , the law provides that companies must inform consumers about the categories of personal information that have been shared with third parties , the names and addresses of those third parties , and examples of the types of services or products marketed by those third parties .",2.6
"We will retain and use your Personal Information as necessary to comply with our legal obligations , resolve disputes , and enforce our agreements .",2.2
"The Site may be accessible through or contain connections to areas where you may be able to publicly post information , communicate with others such as discussion boards or blogs , review products and merchants , and submit media content .",2.8
We will retain your Personal Information for as long as your account is active or as needed to provide you services and to maintain a record of your transactions for financial reporting purposes .,2.6
"While we are ready to assist you in managing your subscriptions , closing your account , and removing your active profile , we can not always delete records of past interactions and transactions .",2.4
"Keeping your Personal Information current helps ensure that we , our Affiliates and Business Partners offer you the offers that are most relevant to you .",2.6
"TRUSTe 's mission , as an independent third party , is to accelerate online trust among consumers and organizations globally through its leading privacy trustmark and innovative trust solutions .",1.75
If you are not satisfied with our response you can contact TRUSTe here .,1.0
with a purchaser of Groupon or any of the Groupon Affiliates ( or their assets ) ;,2.8
"to comply with legal orders and government requests , or as needed to support auditing , compliance , and corporate governance functions ;",2.0
"to combat fraud or criminal activity , and to protect our rights or those of our Affiliates , users , and Business Partners , or as part of legal proceedings affecting Groupon ;",2.2
"Non-Identifying Information means information that alone can not identify you , including data from Cookies , Pixel Tags and Web Beacons , and Device Data .",1.2
"Some cookies are temporary , whereas others may be configured to last longer .",2.4
"Session cookies are temporary cookies used for various reasons , such as to manage page views .",2.0
Your browser usually erases session cookies once you exit your browser .,2.4
"Business Partners means , collectively , third parties with whom we conduct business , such as merchants , co-marketers , distributors , and resellers .",2.2
We encourage you to review the privacy policies or statements of these third party advertising companies to learn more about their use of Cookies and other technologies .,2.2
"We do not share Personal Information with Third-Party Ad-Servers ; however , Third-Party Ad-Servers may automatically collect Non-Identifying Information about your visit to the Site and other websites , your device address , your Internet Service Provider and the browser you use to visit the Site .",3.0
for the same reasons we might share Personal Information ;,2.8
We may also disclose Non-Identifiable Information :,2.8
You should avoid publicly posting Personal Information or identifying information about third parties .,1.8
"For example , if you post your email address along with a public restaurant review , you may receive unsolicited messages from other parties .",2.0
"All the information you post may be accessible to anyone with Internet access , and any Personal Information you include in your posting may be read , collected , and used by others .",2.4
"You can manage your email and notice preferences by logging into your account through the Groupon website , entering the My Stuff section , and selecting My Email Subscriptions , or via the Groupon mobile application , by selecting Project in your account options and then selecting Subscriptions .",1.0
You can also manage your subscriptions by following subscription management instructions contained in the commercial e-mails that we send you .,1.25
You may also manage the sharing of certain Personal Information with us when you connect with us through social networking platforms or applications .,2.0
Please refer to instructions provided by your mobile service provider or the manufacturer of your device to learn how to adjust your settings .,1.0
"You may manage how your mobile device and mobile browser share certain Device Data with Groupon , as well as how your mobile browser handles Cookies by adjusting the privacy and security settings on your mobile device .",2.0
"You can opt-out of being targeted by certain Third-Party Ad-Servers online using the National Advertising Initiative 's Opt-Out Tool , or on TRUSTe 's site .",2.2
"Browsers are different , so refer to instructions related to your browser to learn about cookie-related and other privacy and security settings that may be available .",1.8
You may manage how your browser handles Cookies by adjusting its privacy and security settings .,1.4
"Please note that even if you unsubscribe from promotional email messages , we may still need to contact you with important transactional information related to your account and your purchases .",1.8
You may update your subscription preferences at any time .,1.2
"You may choose to subscribe to some types of messages , and may choose to unsubscribe from others .",2.2
"Allow you to apply for a job , post a video or sign up for special offers from merchants , Business Partners , or third parties through the Site , and to",1.6666666666666667
We also may use information collected as described in this Privacy Statement with your consent or as otherwise required or permitted by law .,2.3333333333333335
"Communicate and provide additional information that may be of interest to you about Groupon and our Business Partners , sometimes by combining your information with information from Other Sources ;",4.0
You can determine when this Privacy Statement was last revised by referring to the date it was Last Updated above .,1.0
You can review the last version of this Privacy Statement here .,1.25
Please refer to the privacy policy and settings of the social networking website or application to determine how you may adjust our permissions and manage the interactivity between Groupon and your social networking account or your mobile device .,1.8
"If you wish to opt out of receiving offers directly from our Business Partners , you can follow the opt-out instructions in the emails that they send you .",2.0
"Evaluate your eligibility for certain types of offers , products or services that may be of interest to you , and analyze advertising effectiveness ;",2.6666666666666665
"However , you can limit the information you provide to Groupon , and you can limit the communications that Groupon sends to you .",2.0
"The U.S . Postal Service will provide a prominent notice to children describing in age appropriate terms what personally identifiable information will be collected , and explain the need for those children to obtain parental consent before sharing their information .",2.0
You will still be able to access most features of usps.com .,2.0
"However , certain features may not work as well or may be unavailable to you .",3.2
"By clicking below , you will be taken to a third party site that explains how to opt out .",1.8
Opting out of all cookies You may choose to opt out of the use of all cookies .,1.6
"Personal information may include your name , email , mailing and/or business address , phone numbers , or other information that identifies you personally .",1.4
Security features and service provider controls,3.4
How you can access your personal information,2.4
We will not condition a child 's participation in an event on the provision of more information than is absolutely necessary for that promotion .,3.8
An example of such a promotion could be a stamp-collecting program that might be of interest to children .,2.2
We will use reasonable effort to obtain verifiable parental consent prior to the collection and use of personally identifiable information from children under 13 .,3.4
The method of parental consent verification may vary according to the event in which the child wishes to participate .,2.4
"If you still have concerns about cookies , you may choose to opt out of their use .",1.8
"Means of obtaining such consent may include , but are not limited to , offline consent such as printing and submitting a permission form by mail or fax , or online consent that contains a verifiable unique identifier such as a credit card .",2.4
"We use it to learn about how locations on our site are being used , what information is of most and least interest , and to ensure usps.com can interface with the types of technology our visitors use .",2.4
We also use the information to tell us of any possible site performance problems .,1.8
"General log informationInternet domain ( for example , `` xcompany.com '' or `` yourschool.edu '' ) ; Internet Protocol ( IP ) address ; operating system ; the browser used to access our Web site ; the date and time you access our site ; and the pages that you visited .",2.0
"We thus may know what path ( s ) you took on usps.com , but we do n't know who you are .",2.8
We automatically collect certain information about your visit to usps.com .,3.2
Parents may revoke their consent and delete information collected from their children at their discretion .,2.6
"Service providers may use session cookies , just like the USPS does , solely to improve the use of the site .",2.6
"The Postal Service will then stop collecting , using , or disclosing information from that child , and will end that child 's participation in that event if such information is necessary to continue .",2.2
Remember that email may not necessarily be secure against interception .,2.6
"This includes the following limited circumstances : to a congressional office on your behalf ; to financial entities regarding financial transaction issues ; to a USPS auditor ; to entities , including law enforcement , as required by law or in legal proceedings ; to domestic and international customs relating to outgoing international mail pursuant to federal law and agreements ; and to contractors and other entities aiding us to fulfill the service ( service providers ) .",1.6
"We do not disclose your information to third parties without your consent , except to facilitate the transaction , to act on your behalf or request , or as legally required .",1.8
"Providing the information is voluntary , but if not provided , we may not process your transaction .",3.2
Many of our programs and websites allow you to send us an email .,1.6
"Ad banner cookies You can opt out of ad banner cookies , without erasing or altering other cookies .",2.4
Data derived from other persistent cookies and beacons are retained behind the USPS firewall or a secure firewall of our service provider .,2.4
"Service providers may only use persistent cookies and beacons if specifically approved by the USPS , which uses must comply fully with this policy .",3.2
"The Postal Service does not allow Web analysis tools to be used by third parties , except for service providers who help us in performing site analysis or providing a particular product , service , or advertisement .",2.6
Site usage measurementOur site measurement tool uses a persistent cookie to assist us in measuring how and when our Web site and its various components are used .,3.0
Session cookies may also be used to collect referral statistics when you click on a link or ad banner to or from usps.com .,2.4
This allows us to know if we are attracting new visitors and what aspects of the site seem most useful .,2.6
"It functions as a visit cookie , so that we can determine if you are a repeat visitor to our site .",2.2
We would like to hear from you if you have any questions or complaints regarding our privacy policy or use of your information .,2.6
"We will take all necessary steps to protect the privacy and safety of any child participating , in accordance with the Children 's Online Privacy Protection Act ( COPPA ) .",2.8
"From time to time as part of a special Postal Service promotion , such as stamp collecting , we may request information from children under 13 years of age .",2.2
They may not be visible as the beacon is generally a 1x1 pixel that is often designed to blend into the background of a Web page .,3.2
"A Web beacon , also referred to as a clear gif or page tag , consists of code on the USPS site that delivers a small graphic image from another Web site or third party server .",1.6
"We use beacons , often in conjunction with cookies , to monitor the effectiveness of ad banners ; and to gather general log , statistical , and referral information .",3.2
"Ad banner cookiesOn behalf of the USPS , persistent cookies and beacons ( described below ) may be set and managed by third party advertising suppliers to support ad banners .",2.8
Third Party Web Analysis Tools,2.8
"We thus use beacons to understand certain actions that you took ( such as a purchase ) , but not to know who you are .",2.8
"We will post a notice that we are requesting information from children including the type of information , how we will use it , whether it will be forwarded to a third party , and a contact at our Web site for questions .",2.4
"If you have provided personal information to us , you may request to review the information that we have maintained .",2.2
Your browser may also display a lock symbol on its bottom task bar line to indicate this secure transmission is in place .,2.0
"The USPS holds service providers to the same rigorous standards of privacy that apply to the USPS , including being made subject to the Privacy Act and USPS privacy policies .",3.0
Service providers that have access to personal information are also subject to security review .,1.8
"The types of Web analysis tools we use are fully explained below , and in the attached letter from the Postmaster General .",1.6
Read the Postmaster General 's letter on Cookie Usage .,1.4
Postmaster General 's Letter on Cookie Usage PDF | HTM,2.2
"Cookies may be categorized as session or persistent , which describes the length of time that they stay on your system .",3.0
Unauthorized modification or misuse of information stored in this system will be investigated and may result in criminal prosecution .,2.4
"Other cookies allow us to remember certain information related to prior transactions , such as package tracking numbers , or mailing or address lists , so that we may prepopulate those fields for you on return visits .",2.6
"This is done for your safety to ensure that , if you have finished using our site , but have forgotten to log off , no one else can use your computer via your log-on and password .",1.6
"This allows us to personalize the site for you and tailor the content to your needs , for instance to show you other products you may be interested in .",3.0
"Opt-in cookiesPersistent cookies allow us , at your request , to recognize you when you return to usps.com , or to remember certain information that you have provided us .",3.2
"We use information we collect to provide you certain products and services , and if needed to respond to your inquiries or requests for information .",3.2
"Service providers may include an entity that provides assistance for the program , such as a call center ; a provider of advertising services ; or a partner for the program .",3.0
The Postal Service enters into relationships with service providers in order to provide the highest quality product or service .,3.4
"Consumers may opt-in , and businesses may opt-out , when they register on usps.com and create a customer profile .",1.2
"We assume you are interested in other products and services that could aid you in your business , and so we will provide information to you unless you tell us you do not want to receive it .",2.4
These preferences in the profile can be changed at any time .,1.8
Such data may include aggregate data such as the number of click-throughs that occurred .,3.2
"It may also include specific data , such as whether you are a repeat visitor ; whether you visited a page with a banner on it or clicked on an ad banner and then used our site ( for instance , to register or make a purchase ) ; the value , date and time of any sale ; and the identity of the site which you linked to or from usps.com .",1.8
"For example , this allows us to determine which ads may be of most interest and to help us control how many times a specific ad is displayed .",2.6
We understand that you may have questions about Web technology and information that is collected as you surf or conduct business online .,2.0
"It excludes disclosures we may have made to you , for a facility directory , to family members or friends involved in your care , or for notification purposes .",2.6
"You have the right to receive an accounting of certain disclosures we have made , if any , of your protected health information .",1.8
"If we deny your request for amendment , you have the right to file a statement of disagreement with us and we may prepare a rebuttal to your statement and will provide you with a copy of any such rebuttal .",2.2
"In certain cases , we may deny your request for an amendment .",2.4
This means you may request an amendment of protected health information about you in a designated record set for as long as we maintain this information .,2.2
"The right to receive this information is subject to certain exceptions , restrictions and limitations .",3.2
You may request a shorter timeframe .,2.0
"You may revoke this authorization , at any time , in writing , except to the extent that your physician or the physician 's practice has taken an action in reliance on the use or disclosure indicated in the authorization .",2.8
Other Permitted and Required Uses and Disclosures that may be made without Your Authorization or Opportunity to Object,3.0
"If you are not present or able to agree or object to the use or disclosure of the protected health information , then your physician may , using professional judgment , determine whether the disclosure is in your best interest .",1.8
We may use and disclose your protected health information in the following instances .,1.6
"Unless you object , we will use and disclose in our facility directory your name , the location at which you are receiving care , your condition ( in general terms ) , and your religious affiliation .",1.4
"Protected health information is information about you , including demographic information , that may identify you and that relates to your past , present or future physical or mental health or condition and related health care services .",1.75
We may change the terms of our notice at any time .,2.5
We may also condition this accommodation by asking you for information as to how payment will be handled or specification of an alternative address or other method of contact .,1.8
"If your physician does agree to the requested restriction , we may not use or disclose your protected health information in violation of that restriction unless it is needed to provide emergency treatment .",2.4
"We may use and disclose your protected health information if your physician or another physician in the practice attempts to obtain an acknowledgement of our Privacy Practices from you , but is unable to do so due to substantial communication barriers .",2.6
"If you are unable to agree or object to such a disclosure , we may disclose such information as necessary if we determine that it is in your best interest based on our professional judgment .",3.2
"Unless you object , we may disclose to a member of your family , a relative , a close friend or any other person you identify , your protected health information that directly relates to that person 's involvement in your health care .",2.2
Others Involved in Your Healthcare .,1.8
We may use or disclose your protected health information in an emergency treatment situation .,1.8
"Finally , we may use or disclose your protected health information to an authorized public or private entity to assist in disaster relief efforts and to coordinate uses and disclosures to family or other individuals involved in your health care .",2.4
"We may use or disclose protected health information to notify or assist in notifying a family member , personal representative or any other person that is responsible for your care of your location , general condition or death .",2.4
"This Notice of Privacy Practices describes how we may use and disclose your protected health information to carry out treatment , payment or health care operations and for other purposes that are permitted or required by law .",2.25
You may complain to us or to the Secretary of Health and Human Services if you believe your privacy rights have been violated by us .,1.0
You may file a complaint with us by notifying our Privacy Contact of your complaint .,1.2
"You may contact our Privacy Contact Robert Rey , at 310 205-3107 for further information about the complaint process .",1.6
We will also disclose protected health information to other physicians who may be treating you .,2.4
This includes the coordination or management of your health care with a third party that may need access to your protected health information .,2.8
"These examples are not meant to be exhaustive , but to describe the types of uses and disclosures that may be made by our office .",2.2
Your protected health information may also be used and disclosed to obtain payment for your health care bills and to support the operation of the physician 's practice .,2.8
THIS NOTICE DESCRIBES HOW MEDICAL INFORMATION ABOUT YOU MAY BE USED AND DISCLOSED AND HOW YOU CAN GET ACCESS TO THIS INFORMATION .,1.75
"Under federal law , however ; you may not inspect or copy the following records : psychotherapy notes ; information compiled in reasonable anticipation of , or use in , a civil , criminal , or administrative action or proceeding ; and protected health information that is subject to law that prohibits access to protected health information .",1.6
Following is a statement of your rights with respect to your protected health information and a brief description of how you may exercise these rights .,1.4
"Other Permitted and Required Uses and Disclosures that may be made without Your Consent , Authorization or Opportunity to Object",2.4
We may use or disclose your protected health information in the following situations without your acknowledgement or authorization .,2.2
This means you may inspect and obtain a copy of protected health information about you that is contained in a designated record set for as long as we maintain the protected health information .,2.4
"In addition , we may use a sign-in sheet at the registration desk where you will be asked to sign your name and indicate your physician .",1.6
We may also call you by name in the waiting room when your physician is ready to see you .,1.4
Your physician is not required to agree to a restriction that you may request .,2.0
You may also request that any part of your protected health information not be disclosed to family members or friends who may be involved in your care or for notification purposes as described in this Notice of Privacy Practices .,2.2
"This means you may ask us not to use or disclose any part of your protected health information for the purposes of treatment , payment or healthcare operations .",1.8
"In some circumstances , you may have a right to have this decision reviewed .",3.0
"Depending on the circumstances , a decision to deny access may be reviewable .",3.0
"For example , your protected health information may be provided to a physician to whom you have been referred to ensure that the physician has the necessary information to diagnose or treat you .",1.8
"In addition , we may disclose your protected health information from time-to-time to another physician or health care provider ( e.g. , a specialist or laboratory ) who , at the request of your physician , becomes involved in your care by providing assistance with your health care diagnosis or treatment to your physician .",2.8
"Your protected health information will be used , as needed , to obtain payment for your health care services .",1.8
"This may include certain activities that your health insurance plan may undertake before it approves or pays for the health care services we recommend for you such as : making a determination of eligibility or coverage for insurance benefits , reviewing services provided to you for medical necessity and undertaking utilization review activities .",2.4
"For example , obtaining approval for a hospital stay may require that your relevant protected health information be disclosed to the health plan to obtain approval for the hospital admission .",2.2
"We may use or disclose , as needed , your protected health information in order to support the business activities of your physician 's practice .",2.8
"These activities include , but are not limited to , quality assessment activities , employee review activities , training of medical students , licensing , and conducting or arranging for other business activities .",2.8
"For example , we may disclose your protected health information to medical school students that see patients at our office .",2.0
"We will share your protected health information with third party business associates that perform various activities ( e.g. , billing , transcription services ) for the practice .",2.2
"We may use or disclose your protected health information , as necessary , to contact you to remind you of your appointment .",1.8
"We may use or disclose your protected health information , as necessary , to provide you with information about treatment alternatives or other health-related benefits and services that may be of interest to you .",2.6
"For example , your name and address may be used to send you a newsletter about our practice and the services we offer .",2.6
We may also use and disclose your protected health information for other marketing activities .,2.2
You may contact our Privacy Contact to request that these materials not be sent to you .,1.8
We may also send you information about products or services that we believe may be beneficial to you .,3.0
"We may use or disclose your demographic information and the dates that you received treatment from your physician , as necessary , in order to contact you for fundraising activities supported by our office .",2.2
"If your physician or another physician in the practice is required by law to treat you and the physician has attempted to obtain your acknowledgement , but is unable , he or she may still use or disclose your protected health information for treatment , payment , and health care operations .",2.6
"For example , we would disclose your protected health information , as necessary , to a home health agency that provides care to you .",2.0
You may have the right to have your physician amend your protected health information .,2.0
You may request a restriction by submitting a written request to our Privacy Contact .,1.6
"Your protected health information may be used and disclosed by your physician , our office staff and others outside of our office that are involved in your care and treatment for the purpose of providing health care services to you .",3.0
"When you sign up for or use our products , we may request personal information from you .",2.4
"We will not sell this information to others , but may use it to offer you additional products , promotions , or for future development ideas .",2.8
"When you communicate with Code School , through email or other means , we may retain copies or transcripts .",2.0
We may update or change our Privacy Policy as needed .,3.4
"Since you provide us with sensitive information , we take every measure possible to protect your information against unauthorized access or disclosure .",2.0
In May 1995 came the full-featured `` InfoUCLA . '',1.2
"UCLA works in a distributed information technology environment ; therefore , policies and procedures for other web sites may vary .",2.8
"While most sites are publicly accessible , certain services and information offered on-line may be restricted to specific users or segments of the UCLA population .",3.8
"From time to time , we may send you emails about Course or new or modified Services that we believe might interest you .",3.25
"If you request to receive company or product information , or request information about specific Services , or provide comments about Services , you will be asked to provide contact information so that we can complete your request .",1.8
Personally Identifiable Information We Collect and How We Use It,2.4
You can generally visit the Site without revealing any personally identifiable information about yourself .,2.6
"When this Privacy Policy uses the generic term information it is intended to address the general use of information , and not your specific Site Information or Course Information .",2.4
"By using the Site , Services , or Courses you consent to the collection , use and disclosure of your personally identifiable Site Information and Course Information , as applicable , in accordance with this Privacy Policy .",2.4
